source,target,time_duration,traffic_density,bandwidth
40.0250116.3210,40.0250116.3220,60.0,0.1957349086990744,0.9086439478756
40.0250116.3220,40.0250116.3230,60.0,0.1957349087040549,0.5182116237026024
40.0250116.3230,40.0250116.3220,60.0,0.1957349087040549,0.8559232690744267
40.0250116.3230,40.0250116.3260,46.0,0.0500211433367329,1.0429269927695517
40.0250116.3260,40.0250116.3290,60.0,0.0652449695696516,0.6278646899167472
40.0250116.3290,40.0250116.3320,60.0,0.065244969570205,0.6492187907281273
40.0250116.3320,40.0250116.3360,60.0,0.0489337271789331,0.4249481520345561
40.0250116.3360,40.0250116.3390,60.0,0.0652449695696516,1.0462408675883126
40.0250116.3390,40.0250116.3410,60.0,0.0978674543523236,0.8011729514793303
40.0250116.3410,40.0300116.3410,60.0,0.0299773454574483,0.3328711171487463
40.0300116.3410,40.0300116.3420,60.0,0.1957492559401154,0.835142633152074
40.0300116.3420,40.0300116.3430,61.0,0.199011743544181,1.1988102240978784
40.0300116.3430,40.0300116.3440,27.0,0.0880871651730519,0.8269665364751916
40.0300116.3440,40.0245116.3440,30.0,0.0136260661170424,0.3498228359435613
40.0245116.3440,40.0245116.3480,60.0,0.0489333685476312,0.6396992698166692
40.0245116.3480,40.0145116.3530,60.0,0.0139975813304678,0.931236030620348
40.0145116.3530,40.0145116.3550,63.0,0.1027450153753665,0.4704707288870336
40.0145116.3550,40.0090116.3550,60.0,0.0272521322340849,0.6353753264252116
40.0090116.3550,40.0090116.3570,60.0,0.097844510837884,0.6106192022525201
40.0090116.3570,40.0090116.3600,60.0,0.0652296738933571,0.4936755381154869
40.0090116.3600,40.0015116.3600,60.0,0.0199848969716576,0.511049655272092
40.0015116.3600,39.9965116.3660,61.0,0.0224371410616702,0.5383451205905291
39.9965116.3660,39.9965116.3700,60.0,0.0489132995067389,0.4028469854593113
39.9965116.3700,39.9870116.3700,60.0,0.0157775502407908,0.4563529853112341
39.9870116.3700,39.9815116.3700,60.0,0.0272521322340533,0.5110956875837805
39.9815116.3700,39.9815116.3740,60.0,0.0489025598082141,0.5320035525710894
39.9815116.3740,39.9765116.3740,63.0,0.0314762127304008,0.8136102252974159
39.9765116.3740,39.9765116.3750,60.0,0.195595926787105,1.1125596968108975
39.9530116.3750,39.9530116.3730,61.0,0.0993937590700782,0.8854745318078088
39.9530116.3730,39.9530116.3720,60.0,0.1955287063618092,0.9903264881803704
39.9530116.3720,39.9480116.3720,60.0,0.0299773454574864,0.3422466488146179
39.9480116.3720,39.9480116.3710,2.0,0.0065171471449004,0.7353291177963756
39.9480116.3710,39.9480116.3700,38.0,0.123825795756259,0.4800223906694434
39.9480116.3680,39.9480116.3660,60.0,0.0977572071762848,0.5099456648182085
39.9480116.3660,39.9480116.3650,60.0,0.1955144143470132,0.5741957379683889
39.9480116.3650,39.9550116.3650,60.0,0.0214123896124864,0.6891976128327946
39.9480116.3650,39.9480116.3640,46.0,0.149894384336524,1.07788135563358
39.9550116.3650,39.9660116.3650,61.0,0.0138531672189931,0.9412158112417416
39.9660116.3650,39.9660116.3640,60.0,0.1955658823569467,0.7984409771567014
39.9660116.3640,39.9740116.3640,60.0,0.018735840910932,0.479973614433565
39.9660116.3640,39.9750116.3640,60.0,0.0166540808097099,0.2981612421789512
39.9740116.3640,39.9740116.3600,60.0,0.048897192983733,0.9995069313065804
39.9740116.3600,39.9740116.3590,60.0,0.1955887719170752,0.7912920284505025
39.9740116.3590,39.9740116.3560,22.500000006506525,0.0244485964979363,1.005073021624207
39.9740116.3590,39.9665116.3590,60.0,0.0199848969716745,0.902697295090602
39.9740116.3560,39.9740116.3550,7.5000000023559314,0.0244485964979363,1.005073021624207
39.9740116.3550,39.9740116.3520,22.500000006506525,0.0244485964979363,1.005073021624207
39.9740116.3470,39.9670116.3470,62.0,0.0221261359329227,0.4436694851066817
39.9595116.3470,39.9595116.3490,60.0,0.0977736456673502,0.5892839935870999
39.9530116.3470,39.9530116.3500,60.0,0.0651762354572182,0.5518281513431511
39.9460116.3500,39.9460116.3540,64.0,0.0521356529492124,0.4890051734187578
39.9190116.3500,39.9245116.3500,60.0,0.0272521322340533,0.5443965557346223
39.9135116.3500,39.9135116.3510,15.000000001366534,0.0488539742310669,1.0327754780799254
39.9060116.3340,39.9060116.3350,30.00000000008848,0.0976972512928088,0.5115035315682636
39.9060116.3290,39.9060116.3300,20.000000000666166,0.0651315008638498,0.5533043913897436
39.9060116.3290,39.9110116.3290,60.0,0.0299773454574864,0.8141815204036732
39.9060116.3300,39.9060116.3290,20.000000000666166,0.0651315008638498,0.5533043913897436
39.9110116.3290,39.9110116.3310,60.0,0.0977043822886519,1.017857973356906
39.9110116.3310,39.9110116.3320,60.0,0.1954087645767271,1.1218929093228307
39.9110116.3320,39.9110116.3330,61.0,0.1986655773146175,0.9825234115789364
39.9110116.3330,39.9110116.3350,60.0,0.0977043822886519,0.7093491018066312
39.9110116.3350,39.9110116.3360,60.0,0.1954087645717549,1.1203263974378248
39.9110116.3360,39.9110116.3370,60.0,0.1954087645717549,0.5000497651679867
39.9110116.3370,39.9110116.3380,60.0,0.1954087645767271,1.1876032166371735
39.9110116.3380,39.9110116.3390,62.0,0.2019223900574801,0.7032749474438005
39.9110116.3440,39.9110116.3450,30.000000000088576,0.0977043822886519,0.930289655605031
39.9110116.3450,39.9110116.3460,30.000000000851905,0.0977043822886519,0.930289655605031
39.9110116.3460,39.9110116.3470,62.0,0.2019223900626179,0.9018364887531716
39.9110116.3460,39.9055116.3460,62.0,0.0281605366418877,0.6044401540424379
39.9110116.3470,39.9110116.3480,60.0,0.1954087645717549,0.8138835559282939
39.9110116.3480,39.9160116.3480,61.0,0.0304769678818166,0.4670790445544553
39.9160116.3480,39.9160116.3510,60.0,0.0651410100479156,0.5736057396974364
39.9160116.3510,39.9235116.3510,60.0,0.0199848969716576,0.5370171526165592
39.9160116.3510,39.9160116.3500,60.0,0.1954230301339195,0.6500494335062026
39.9235116.3510,39.9295116.3510,60.0,0.0249811212145561,0.9509323783033128
39.9295116.3510,39.9295116.3500,60.0,0.1954615649941281,0.7677841507926819
39.9460116.3540,39.9460116.3560,60.0,0.0977543492742571,0.5603339714374518
39.9460116.3560,39.9510116.3560,14.0,0.0069947139400801,0.48072475507956
39.9510116.3560,39.9510116.3550,1.0,0.0032587164855242,0.2601488843469241
39.9510116.3520,39.9510116.3510,60.0,0.1955229891264805,0.8958288359242199
39.9510116.3520,39.9510116.3530,5.749454116109713,0.018735840910932,0.9671439527614896
39.9510116.3490,39.9625116.3490,60.0,0.0130336284597738,0.400164920177868
39.9625116.3490,39.9710116.3490,60.0,0.0176337326220561,0.8018870795620173
39.9800116.3490,39.9800116.3480,60.0,0.1956059451102881,0.9143286928576646
39.9800116.3480,39.9800116.3470,60.0,0.1956059451102881,0.8944912610053058
39.9800116.3480,39.9860116.3480,61.0,0.0253974732348256,0.5704065255655881
39.9800116.3470,39.9800116.3480,60.0,0.1956059451102881,1.0167244604064367
39.9860116.3480,39.9860116.3470,60.0,0.1956231234649021,0.7824645949316273
39.9860116.3470,39.9920116.3470,49.0,0.0204012489918875,0.5582616508413054
39.9470116.3470,39.9470116.3500,60.0,0.0651705187944248,1.0202615348785813
39.9130116.3500,39.9130116.3490,60.0,0.1954144703730795,0.7258972854681547
39.9130116.3490,39.9130116.3460,62.0,0.0673094286857326,0.6583645693216759
39.9130116.3460,39.9130116.3400,60.0,0.0325690784010552,1.0275626569723
39.9130116.3400,39.9080116.3400,60.0,0.0299773454575246,0.7248163444813472
39.9080116.3400,39.9080116.3420,12.000000005987658,0.0195400207051397,0.4170649576602773
39.9080116.3450,39.9080116.3460,7.500000002539961,0.0244250258768156,0.883222478408512
39.9080116.3460,39.9080116.3470,7.500000002349128,0.0244250258768156,0.883222478408512
39.9080116.3470,39.9080116.3480,7.500000002539961,0.0244250258768156,0.883222478408512
39.9080116.3480,39.9080116.3490,7.500000002539961,0.0244250258768156,0.883222478408512
39.9080116.3490,39.9080116.3500,7.500000002349128,0.0244250258768156,0.883222478408512
39.9080116.3500,39.9135116.3500,60.0,0.0272521322340849,0.8047106825060759
39.9135116.3510,39.9190116.3510,60.0,0.0272521322340849,0.6079251942718501
39.9190116.3510,39.9190116.3500,60.0,0.1954315911854638,0.7078403233397117
39.9305116.3500,39.9220116.3500,60.0,0.0176337326220429,0.5643691178128415
39.9375116.3500,39.9435116.3500,31.30434782608407,0.013033628459781,0.2726494051095128
39.9375116.3500,39.9315116.3500,42.35294117647851,0.0176337326220429,0.5643691178128415
39.9455116.3500,39.9395116.3500,31.30434782608407,0.013033628459781,0.2726494051095128
39.9520116.3500,39.9520116.3490,1.0,0.0032587641279591,0.5333392237429341
39.9520116.3490,39.9615116.3490,58.0,0.0152516318994106,0.8083798292319951
39.9795116.3490,39.9795116.3480,67.0,0.218425040425344,0.9689668497552664
39.9795116.3480,39.9855116.3480,60.0,0.0249811212145561,0.6140869013291211
39.9855116.3480,39.9855116.3470,60.0,0.1956216917381719,0.5246946094375473
39.9855116.3470,39.9855116.3390,60.0,0.0244527114756564,0.7186687140557568
39.9925116.3470,39.9985116.3470,60.0,0.0249811212145561,0.93080577136285
39.9925116.3470,39.9870116.3470,47.1428571428805,0.0214123896125058,0.8785693406591185
40.0035116.3470,40.0035116.3500,60.0,0.0652244188354149,0.3727056790240817
40.0035116.3500,40.0035116.3540,60.0,0.0489183141282535,0.7800008141280427
40.0035116.3540,40.0035116.3580,60.0,0.0489183141285646,0.3031386263405272
